feature_id,feature,hevy,jefit,smartgym,strong,fitbod,evidence_status
MF-001,Auth with Apple/Google/Email,yes,unknown,unknown,missing,missing,from screenshots
MF-002,Multi-step onboarding personalization,yes,yes,yes,missing,missing,from screenshots
MF-003,Onboarding paywall intercept,yes,no_evidence,yes,missing,missing,from screenshots
MF-004,Routine creation,yes,yes,yes,missing,missing,from screenshots
MF-005,Routine day assignment,partial,yes,partial,missing,missing,from screenshots
MF-006,Add exercise from filtered library,yes,yes,yes,missing,missing,from screenshots
MF-007,Custom exercise creation,yes,yes,yes,missing,missing,from screenshots
MF-008,Superset support,yes,yes,yes,missing,missing,from screenshots
MF-009,Replace exercise,yes,yes,yes,missing,missing,from screenshots
MF-010,Reorder exercises,yes,yes,yes,missing,missing,from screenshots
MF-011,Rest timer per exercise,yes,yes,yes,missing,missing,from screenshots
MF-012,Timer quick-adjust and skip,yes,yes,partial,missing,missing,from screenshots
MF-013,Plate calculator,yes,no_evidence,no_evidence,missing,missing,from screenshots
MF-014,In-workout media playback,animation,video,animation,missing,missing,from screenshots
MF-015,Workout completion save discard,yes,yes,yes,missing,missing,from screenshots
MF-016,Save-workout policy controls,yes,yes,yes,missing,missing,from screenshots
MF-017,Exercise detail tabs history chart guide,yes,yes,partial,missing,missing,from screenshots
MF-018,Exercise 1RM tools,yes,yes,no_evidence,missing,missing,from screenshots
MF-019,Exercise notes,yes,yes,no_evidence,missing,missing,from screenshots
MF-020,Body map analytics,yes,yes,no_evidence,missing,missing,from screenshots
MF-021,Advanced progression index,partial,yes,no_evidence,missing,missing,from screenshots
MF-022,Calendar analytics,yes,yes,yes,missing,missing,from screenshots
MF-023,Measurement logging,yes,partial,yes,missing,missing,from screenshots
MF-024,Measurement charts,yes,no_evidence,yes,missing,missing,from screenshots
MF-025,Export data,yes,no_evidence,yes,missing,missing,from screenshots
MF-026,Import competitor data,strong_csv,no_evidence,no_evidence,missing,missing,from screenshots
MF-027,Apple Health integration,yes,yes,yes,missing,missing,from screenshots
MF-028,Strava integration,yes,yes,yes,missing,missing,from screenshots
MF-029,Apple Watch integration,faq_mentions,yes,yes,missing,missing,from screenshots
MF-030,ChatGPT integration,yes,no_evidence,indirect_docs,missing,missing,from screenshots
MF-031,Apple Intelligence integration,no_evidence,no_evidence,yes,missing,missing,from screenshots
MF-032,Social feed,yes,yes,no_evidence,missing,missing,from screenshots
MF-033,Likes comments follows,yes,partial,no_evidence,missing,missing,from screenshots
MF-034,Discover athletes,yes,partial,no_evidence,missing,missing,from screenshots
MF-035,Privacy controls,yes,yes,partial,missing,missing,from screenshots
MF-036,Notification settings granularity,yes,partial,yes,missing,missing,from screenshots
MF-037,Theme controls,yes,yes,partial,missing,missing,from screenshots
MF-038,Language controls,yes,no_evidence,exercise_language,missing,missing,from screenshots
MF-039,Unit controls,yes,yes,yes,missing,missing,from screenshots
MF-040,Help center and support,yes,yes,yes,missing,missing,from screenshots
MF-041,Referral incentives,no_evidence,yes,no_evidence,missing,missing,from screenshots
MF-042,Personal trainer mode,hevy_coach,coaches_tip_entry,yes,missing,missing,from screenshots
MF-043,Siri shortcuts workflow,faq_mentions,no_evidence,yes,missing,missing,from screenshots
MF-044,Live activities support mention,faq_mentions,no_evidence,yes,missing,missing,from screenshots
MF-045,Lock-screen widgets mention,no_evidence,no_evidence,yes,missing,missing,from screenshots
MF-046,Cloud sync premium claim,no_explicit_claim,no_explicit_claim,yes,missing,missing,from screenshots
MF-047,Achievements badges,no_evidence,yes,premium_claim,missing,missing,from screenshots
MF-048,Streak leaderboard,no_evidence,yes,no_evidence,missing,missing,from screenshots
MF-049,Program explore catalogs,yes,yes,yes,missing,missing,from screenshots
MF-050,Inline contextual upsell patterns,yes,yes,yes,missing,missing,from screenshots
